ID,Company,Title,Location,Publication Date,Link
"58","Minsait an Indra Company","Pessoa Desenvolvedor Fullstack Pleno","Efetivo","Publicada em 02 de agosto de 2023","https://minsait.gupy.io/job/eyJqb2JJZCI6NTIzMDc2MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"59","play9","Pessoa Desenvolvedora Fullstack Sr","Pessoa jurídica","Publicada em 02 de agosto de 2023","https://play9.gupy.io/job/eyJqb2JJZCI6NTIyODQ2OSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"60","Grupo Boticário","Pessoa Desenvolvedora Fullstack Node/ React - Spec II - Canais Não Proprietários","Efetivo","Publicada em 01 de agosto de 2023","https://grupoboticario.gupy.io/job/eyJqb2JJZCI6NTIxNzYxNSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"61","Montreal & Tecnologia & Inovação","Desenvolvedor FullStack SR - Regional São Paulo","São Paulo - SP","Publicada em 01 de agosto de 2023","https://montreal.gupy.io/job/eyJqb2JJZCI6NTIyMTk5Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"62","Stefanini Group","Desenvolvedor Fullstack Java","Brasilia","Publicada em 31 de julho de 2023","https://stefanini.gupy.io/job/eyJqb2JJZCI6NTIyMDc0Niwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"63","Seedz","Senior Software Engineer Fullstack (Node, React)","Belo Horizonte - MG","Publicada em 28 de julho de 2023","https://seedz.gupy.io/job/eyJqb2JJZCI6NTE5MjMxMCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"64","Caffeine Army","Pessoa Desenvolvedora Fullstack","Salvador - BA","Publicada em 28 de julho de 2023","https://vagascaffeinearmy.gupy.io/job/eyJqb2JJZCI6NTIxMjkwNywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"65","Minsait an Indra Company","Pessoa Desenvolvedora Fullstack Java Sênior","São Paulo - SP","Publicada em 28 de julho de 2023","https://minsait.gupy.io/job/eyJqb2JJZCI6NTIwMTcyOSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"66","Minsait an Indra Company","PESSOA PROGRAMADORA BAIXA PLATAFORMA FULLSTACK","Brasília - DF","Publicada em 28 de julho de 2023","https://minsait.gupy.io/job/eyJqb2JJZCI6NTIxMjU3NCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"67","Grupo Boticário","Pessoa Desenvolvedora Fullstack III NodeJs/React - (Consumidor)","SÃO PAULO - SP","Publicada em 27 de julho de 2023","https://grupoboticario.gupy.io/job/eyJqb2JJZCI6NTIxMTE1Niwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"68","NAVA | Technology for Business","PESSOA DESENVOLVEDORA FULLSTACK JAVA /ANGULAR","São Paulo - SP","Publicada em 27 de julho de 2023","https://nava.gupy.io/job/eyJqb2JJZCI6NTIwODYzMSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"69","Leega Consultoria","Desenvolvedor FullStack [PHP & AWS]","São Paulo - SP","Publicada em 26 de julho de 2023","https://leega.gupy.io/job/eyJqb2JJZCI6NTIwMDgxNSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"70","Solutis Tecnologias LTDA","Desenvolvedor(a) FullStack Especialista - Hibrida/SP","São Paulo - SP","Publicada em 25 de julho de 2023","https://solutis.gupy.io/job/eyJqb2JJZCI6NTE5ODk4Niwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"71","Autoglass Tech","Engenheiro de Software - Fullstack","Efetivo","Publicada em 24 de julho de 2023","https://autoglasstech.gupy.io/job/eyJqb2JJZCI6NTE5MzQ4NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"72","Datum TI","Pessoa Desenvolvedora FullStack Sênior","Florianópolis - SC","Publicada em 20 de julho de 2023","https://datum.gupy.io/job/eyJqb2JJZCI6NTE4NTAxOSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"73","Maxxidata","Desenvolvedor Javascript Typerscript FullStack Pleno","Barueri - SP","Publicada em 20 de julho de 2023","https://maxxioportunidades.gupy.io/job/eyJqb2JJZCI6NTE3MzM4Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"74","Maxxidata","Desenvolvedor Javascript Typerscript FullStack Sênior","Barueri - SP","Publicada em 20 de julho de 2023","https://maxxioportunidades.gupy.io/job/eyJqb2JJZCI6NTE3MzQzMywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"75","Cielo","Tech Lead | Fullstack","Barueri - SP","Publicada em 20 de julho de 2023","https://cielo.gupy.io/job/eyJqb2JJZCI6NTE4MTgzOCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"76","Recrutamento para área de tecnologia com Fit Cultural e Aderência Técnica.","Desenvolvedor(a) Fullstack","São Paulo - SP","Publicada em 18 de julho de 2023","https://werecruiter.gupy.io/job/eyJqb2JJZCI6NTE3NTc1NCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"77","Grupo Boticário","Pessoa Desenvolvedora Fullstack Node/React Especialista I (Colaborador)","São Paulo - SP","Publicada em 18 de julho de 2023","https://grupoboticario.gupy.io/job/eyJqb2JJZCI6NTE3MTYwOCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"78","Grupo Arcca","Estágio para desenvolvedor Fullstack","Rio de Janeiro - RJ","Publicada em 18 de julho de 2023","https://arcca.gupy.io/job/eyJqb2JJZCI6NTE3NDgzMiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"79","Grupo Arcca","Desenvolvedor Fullstack","Rio de Janeiro - RJ","Publicada em 18 de julho de 2023","https://arcca.gupy.io/job/eyJqb2JJZCI6NTE3NDcwMCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"80","NAVA | Technology for Business","PESSOA FULLSTACK (JAVA / ANGULAR)","São Paulo - SP","Publicada em 18 de julho de 2023","https://nava.gupy.io/job/eyJqb2JJZCI6NTE3NDUzMCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"81","Inicie","Desenvolvedor Fullstack PHP Angular Pleno Nível 1","São Paulo - SP","Publicada em 18 de julho de 2023","https://inicie.gupy.io/job/eyJqb2JJZCI6NTE3Mzg3Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"82","Grupo Boticário","Pessoa Desenvolvedora Fullstack III Nodejs/Reactjs (ESG) - Vaga afirmativa para Pessoa com Deficiência PcD","Efetivo","Publicada em 18 de julho de 2023","https://grupoboticario.gupy.io/job/eyJqb2JJZCI6NTE2OTYwMywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"83","CRM Services","Pessoa Desenvolvedora Fullstack - Pleno","Campinas - SP","Publicada em 17 de julho de 2023","https://crmservices.gupy.io/job/eyJqb2JJZCI6NTE2NzIwMywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"84","Leads2b","Desenvolvedor(a) FullStack Pl","Curitiba - PR","Publicada em 13 de julho de 2023","https://leads2b.gupy.io/job/eyJqb2JJZCI6NTE1NjA5OCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"85","3CON | IT & Digital","Desenvolvedor Node.JS Fullstack","Rio de Janeiro","Publicada em 10 de julho de 2023","https://trescon.gupy.io/job/eyJqb2JJZCI6NTEzNDk0Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"86","3CON | IT & Digital","Desenvolvedor Java Fullstack Sênior","Rio de Janeiro","Publicada em 10 de julho de 2023","https://trescon.gupy.io/job/eyJqb2JJZCI6NTEzNDkwNSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"87","Creare Sistemas","Desenvolvedor FullStack SR","Canoas - RS","Publicada em 07 de julho de 2023","https://creare.gupy.io/job/eyJqb2JJZCI6NTEzMTI5MSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"88","Creare Sistemas","Desenvolvedor FullStack PL","Canoas - RS","Publicada em 07 de julho de 2023","https://creare.gupy.io/job/eyJqb2JJZCI6NTEzMTI0Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"89","Knewin","Pessoa Desenvolvedora Java Fullstack (Júnior)","Florianópolis - SC","Publicada em 03 de julho de 2023","https://knewin.gupy.io/job/eyJqb2JJZCI6NTAzOTgyMywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"90","Keep Simple","Desenvolvedor Fullstack DotNet + Angular/ React Senior | Projeto US (2953)","São Bernardo do Campo - SP","Publicada em 29 de junho de 2023","https://keepsimple.gupy.io/job/eyJqb2JJZCI6NTA5OTQ5NCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
