ID,Company,Title,Location,Publication Date,Link
"53","Grupo Boticário","Pessoa Desenvolvedora Especialista I Backend - Squad Catálogo (Marketplace)","Efetivo","Publicada em 02 de agosto de 2023","https://grupoboticario.gupy.io/job/eyJqb2JJZCI6NTIyNzU0NCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"54","Vem pra Kobe!","Backend Software Engineer (Middle) | International Project","Porto Alegre - RS","Publicada em 31 de julho de 2023","https://kobe.gupy.io/job/eyJqb2JJZCI6NTIyMDI3NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"55","Mundiale","SOFTWARE DEVELOPER – BACKEND","BELO HORIZONTE - MG","Publicada em 31 de julho de 2023","https://mundiale.gupy.io/job/eyJqb2JJZCI6NTIxOTk1Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"56","Cielo","Desenvolvedor Backend Java SR/Especialista","Barueri - SP","Publicada em 31 de julho de 2023","https://cielo.gupy.io/job/eyJqb2JJZCI6NTIxOTIzNiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"57","Vertigo Tecnologia","Desenvolvedor(a) Backend Liferay Pleno","Rio de Janeiro - RJ","Publicada em 28 de julho de 2023","https://vertigo.gupy.io/job/eyJqb2JJZCI6NTIxNDc0OSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"58","Conta Simples","Engenheira(o) de Software Backend Pleno | Vaga afirmativa para pessoas negras","São Paulo - SP","Publicada em 27 de julho de 2023","https://contasimples.gupy.io/job/eyJqb2JJZCI6NTIwODQ4NCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"59","Árvore","Pessoa Desenvolvedora Backend Sênior","Rio de Janeiro - RJ","Publicada em 24 de julho de 2023","https://arvore.gupy.io/job/eyJqb2JJZCI6NTE5Njg5OCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"60","TIXIT","Java Backend Pleno","São Paulo - SP","Publicada em 21 de julho de 2023","https://tixit.gupy.io/job/eyJqb2JJZCI6NTE4ODAzMiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"61","Grupo Boticário","Pessoa Desenvolvedora BackEnd Java Especialista I (Lojas e Franquias) - Vaga Afirmativa para Talentos Diversos","Efetivo","Publicada em 20 de julho de 2023","https://grupoboticario.gupy.io/job/eyJqb2JJZCI6NTA2Mjk3OCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"62","Grupo Boticário","Pessoa Desenvolvedora Backend (Node.js) - Especialista l (Venda Direta)","Efetivo","Publicada em 19 de julho de 2023","https://grupoboticario.gupy.io/job/eyJqb2JJZCI6NTE1NzUwMiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"63","Job Opportunities","Senior Backend API Engineer - USA_75","São Paulo - SP","Publicada em 18 de julho de 2023","https://gobettirh.gupy.io/job/eyJqb2JJZCI6NTE3NTAyNSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"64","200DEV","Dev Backend Sr","São Paulo - SP","Publicada em 18 de julho de 2023","https://200dev.gupy.io/job/eyJqb2JJZCI6NTE3MjQzMiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"65","Grupo Boticário","Pessoa Desenvolvedora Backend III Java/Kotlin - (Canais Não Proprietários)","Efetivo","Publicada em 18 de julho de 2023","https://grupoboticario.gupy.io/job/eyJqb2JJZCI6NTAyNjA2MSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
